department,day,population,encounters
""7"",2010-01-31,6152,2983
""7"",2010-02-28,6271,3424
""7"",2010-03-31,6418,4068
""7"",2010-04-30,6551,4190
""7"",2010-05-31,6655,4208
""7"",2010-06-30,6758,3893
""7"",2010-07-31,6856,4086
""7"",2010-08-31,6944,3625
""7"",2010-09-30,7046,3642
""7"",2010-10-31,7133,4349
""7"",2010-11-30,7199,3554
""7"",2010-12-31,7249,3267
""7"",2011-01-31,7316,4047
""7"",2011-02-28,7411,3572
""7"",2011-03-31,7516,4112
""7"",2011-04-30,7619,3737
""7"",2011-05-31,7733,4423
""7"",2011-06-30,7841,4163
""7"",2011-07-31,7929,4483
""7"",2011-08-31,7999,4817
""7"",2011-09-30,8088,4421
""7"",2011-10-31,8170,4183
""7"",2011-11-30,8270,4867
""7"",2011-12-31,8336,4800
""7"",2012-01-31,8409,5132
""8"",2006-01-31,301,407
""8"",2006-03-31,389,614
""8"",2006-04-30,375,634
""8"",2006-06-30,479,761
""8"",2006-07-31,458,750
""8"",2006-09-30,537,653
""8"",2006-10-31,517,788
""8"",2006-12-31,597,722
""8"",2007-01-31,578,800
""8"",2007-03-31,706,1088
""8"",2007-04-30,696,998
""8"",2007-06-30,779,1040
""8"",2007-07-31,799,919
""8"",2007-09-30,896,897
""8"",2007-10-31,899,1037
""8"",2007-12-31,965,1057
""8"",2008-01-31,1001,1267
""8"",2008-03-31,1068,1290
""8"",2008-04-30,1106,1240
""8"",2008-06-30,1167,1285
""8"",2008-07-31,1207,1358
""8"",2008-09-30,1306,1437
""8"",2008-10-31,1314,1407
""8"",2008-12-31,1390,221
""8"",2009-01-31,1447,475
""8"",2009-03-31,1537,2189
""8"",2009-04-30,1587,1973
""8"",2009-05-31,1634,1934
""8"",2009-06-30,1701,1979
""8"",2009-07-31,1780,2158
""8"",2009-08-31,1834,2090
""8"",2009-09-30,1892,2379
""8"",2009-10-31,1942,2151
""8"",2009-11-30,1990,2466
""8"",2009-12-31,2040,2317
""8"",2010-01-31,2076,2093
""8"",2010-02-28,2132,2402
""8"",2010-03-31,2197,2558
""8"",2010-04-30,2274,2713
""8"",2010-05-31,2307,2412
""8"",2010-06-30,2350,2877
""8"",2010-07-31,2401,2589
""8"",2010-08-31,2457,2523
""8"",2010-09-30,2526,2698
""8"",2010-10-31,2568,2700
""8"",2010-11-30,2604,1669
""8"",2010-12-31,2625,2334
""8"",2011-01-31,2660,2504
""8"",2011-02-28,2702,2567
""8"",2011-03-31,2734,2641
""8"",2011-04-30,2775,2450
""8"",2011-05-31,2807,2111
""8"",2011-06-30,2836,2233
""8"",2011-07-31,2874,2515
""8"",2011-08-31,2903,2626
""8"",2011-09-30,2939,1910
""8"",2011-10-31,2958,1633
""8"",2011-11-30,3001,2437
""8"",2011-12-31,3027,2200
""8"",2012-01-31,3051,2070
""9"",2006-01-31,814,256
""9"",2006-03-31,929,575
""9"",2006-04-30,981,536
""9"",2006-06-30,1161,858
""9"",2006-07-31,1244,969
