clinic,status,day,population
11120,10,2010-09-30,2
11120,10,2010-10-31,2
11120,10,2010-11-30,5
11120,10,2010-12-31,11
11120,10,2011-01-31,25
11120,10,2011-02-28,29
11120,10,2011-03-31,30
11120,10,2011-04-30,28
11120,10,2011-05-31,23
11120,10,2011-06-30,24
11120,10,2011-07-31,23
11120,10,2011-08-31,20
11120,10,2011-09-30,25
11120,10,2011-10-31,29
11120,10,2011-11-30,52
11120,10,2011-12-31,61
11120,10,2012-01-31,63
11127,1,2008-06-30,18
11127,1,2008-07-31,18
11127,1,2008-09-30,19
11127,1,2008-10-31,19
11127,1,2008-12-31,19
11127,1,2009-01-31,20
11127,1,2009-03-31,21
11127,1,2009-04-30,21
11127,1,2009-05-31,21
11127,1,2009-06-30,26
11127,1,2009-07-31,28
11127,1,2009-08-31,28
11127,1,2009-09-30,31
11127,1,2009-10-31,137
11127,1,2009-11-30,138
11127,1,2009-12-31,140
11127,1,2010-01-31,177
11127,1,2010-02-28,178
11127,1,2010-03-31,179
11127,1,2010-04-30,184
11127,1,2010-05-31,184
11127,1,2010-06-30,186
11127,1,2010-07-31,186
11127,1,2010-08-31,189
11127,1,2010-09-30,191
11127,1,2010-10-31,200
11127,1,2010-11-30,202
11127,1,2010-12-31,203
11127,1,2011-01-31,206
11127,1,2011-02-28,208
11127,1,2011-03-31,210
11127,1,2011-04-30,211
11127,1,2011-05-31,213
11127,1,2011-06-30,213
11127,1,2011-07-31,222
11127,1,2011-08-31,226
11127,1,2011-09-30,232
11127,1,2011-10-31,234
11127,1,2011-11-30,237
11127,1,2011-12-31,240
11127,1,2012-01-31,240
11127,2,2006-01-31,17
11127,2,2006-03-31,4
11127,2,2006-04-30,4
11127,2,2006-06-30,5
11127,2,2006-07-31,5
11127,2,2006-09-30,11
11127,2,2006-10-31,7
11127,2,2006-12-31,12
11127,2,2007-01-31,7
11127,2,2007-03-31,3
11127,2,2007-04-30,4
11127,2,2007-06-30,39
11127,2,2007-07-31,37
11127,2,2007-09-30,9
11127,2,2007-10-31,4
11127,2,2007-12-31,1
11127,2,2008-03-31,4
11127,2,2008-04-30,29
11127,2,2008-06-30,60
11127,2,2008-07-31,58
11127,2,2008-09-30,25
11127,2,2008-10-31,30
11127,2,2008-12-31,16
11127,2,2009-01-31,20
11127,2,2009-03-31,23
11127,2,2009-04-30,25
11127,2,2009-05-31,15
11127,2,2009-06-30,14
11127,2,2009-07-31,20
11127,2,2009-08-31,16
11127,2,2009-09-30,23
11127,2,2009-10-31,24
11127,2,2009-11-30,12
11127,2,2009-12-31,20
11127,2,2010-01-31,6
11127,2,2010-03-31,1
11127,2,2010-05-31,5
11127,2,2010-06-30,23
11127,2,2010-07-31,24
11127,2,2010-08-31,17
11127,2,2010-09-30,16
11127,2,2010-10-31,20
11127,2,2010-11-30,20
11127,2,2010-12-31,16
11127,2,2011-01-31,23
11127,2,2011-02-28,35
11127,2,2011-03-31,52
11127,2,2011-04-30,43
11127,2,2011-05-31,33
11127,2,2011-06-30,32
11127,2,2011-07-31,32
11127,2,2011-08-31,23
11127,2,2011-09-30,19
11127,2,2011-10-31,14
11127,2,2011-11-30,15
11127,2,2011-12-31,29
11127,2,2012-01-31,36
11127,3,2006-01-31,30
11127,3,2006-03-31,48
11127,3,2006-04-30,32
11127,3,2006-06-30,43
11127,3,2006-07-31,47
