clinic,day,population,encounters
11221,2011-08-31,2515,3660
11221,2011-09-30,2591,3875
11221,2011-10-31,2659,4166
11221,2011-11-30,2717,3604
11221,2011-12-31,2777,4193
11221,2012-01-31,2838,3728
11228,2006-01-31,18,5
11228,2006-03-31,23,0
11228,2006-04-30,21,0
11228,2006-06-30,25,4
11228,2006-07-31,24,2
11228,2006-09-30,46,75
11228,2006-10-31,56,120
11228,2006-12-31,84,143
11228,2007-01-31,98,257
11228,2007-03-31,166,399
11228,2007-04-30,203,580
11228,2007-06-30,312,724
11228,2007-07-31,363,680
11228,2007-09-30,433,567
11228,2007-10-31,452,574
11228,2007-12-31,539,722
11228,2008-01-31,597,774
11228,2008-03-31,698,1045
11228,2008-04-30,744,1094
11228,2008-06-30,912,1123
11228,2008-07-31,978,1248
11228,2008-09-30,1106,1354
11228,2008-10-31,1141,1338
11228,2008-12-31,1213,899
11228,2009-01-31,1253,1317
11228,2009-03-31,1332,967
11228,2009-04-30,1354,753
11228,2009-05-31,1373,987
11228,2009-06-30,1408,1386
11228,2009-07-31,1436,1074
11228,2009-08-31,1457,602
11228,2009-09-30,1483,559
11228,2009-10-31,1524,845
11228,2009-11-30,1545,1144
11228,2009-12-31,1556,1041
11228,2010-01-31,1561,242
11228,2010-02-28,1564,518
11228,2010-03-31,1569,356
11228,2010-04-30,1585,536
11228,2010-05-31,1611,711
11228,2010-06-30,1638,912
11228,2010-07-31,1664,1000
11228,2010-08-31,1688,809
11228,2010-09-30,1755,900
11228,2010-10-31,1808,1029
11228,2010-11-30,1846,1031
11228,2010-12-31,1881,1128
11228,2011-01-31,1940,1549
11228,2011-02-28,1972,1447
11228,2011-03-31,2000,1819
11228,2011-04-30,2035,1729
11228,2011-05-31,2096,1657
11228,2011-06-30,2154,1868
11228,2011-07-31,2209,2241
11228,2011-08-31,2253,1858
11228,2011-09-30,2329,2105
11228,2011-10-31,2364,1807
11228,2011-11-30,2409,2123
11228,2011-12-31,2438,1701
11228,2012-01-31,2471,1862
11234,2009-06-30,1,6
11234,2009-07-31,2,4
11234,2009-08-31,2,3
